ID,Sprint,Commit sugerido,Tarea,Descripción,Alcance funcional,Complejidad,Responsable,Fecha inicio,Fecha fin,Estado,Dependencias
NEXA-001,Sprint 1 (sem 1-2),chore: init monorepo pnpm workspaces,Inicializar monorepo,"Crear el repo con pnpm workspaces, pnpm-workspace.yaml, package.json raíz, estructura apps/ y packages/, y añadir CLAUDE.md y README.md.",Infraestructura / base del proyecto,Small,Yo,2026-07-06,2026-07-10,Por hacer,-
NEXA-002,Sprint 1 (sem 1-2),chore: shared config package,Package de config compartida,"Crear packages/config con tsconfig base, ESLint y Prettier compartidos para todo el monorepo.",Infraestructura / tooling,Small,Yo,2026-07-06,2026-07-10,Por hacer,NEXA-001
NEXA-003,Sprint 1 (sem 1-2),chore: shared types package,Package de tipos/contratos,Crear packages/types con DTOs de API y payloads de eventos WebSocket como fuente única de verdad entre backend y frontends.,Infraestructura / contratos,Small,Omar,2026-07-06,2026-07-10,Por hacer,NEXA-001
NEXA-004,Sprint 1 (sem 1-2),feat: express server skeleton,Esqueleto del backend Express,"Levantar apps/api con Node + Express en TypeScript, healthcheck, estructura de carpetas para DDD (contexts) y arranque local.",Backend / base,Medium,Omar,2026-07-06,2026-07-10,Por hacer,NEXA-001
NEXA-005,Sprint 1 (sem 1-2),feat: prisma + postgres setup,Configurar Prisma + PostgreSQL,"Configurar Prisma sobre PostgreSQL local, definir schema inicial (Restaurant, Queue, WaitlistEntry, User, StaffUser, Notification, ServiceReview) y primera migración.",Backend / datos,Medium,Omar,2026-07-06,2026-07-17,Por hacer,NEXA-004
NEXA-006,Sprint 1 (sem 1-2),feat: DDD structure per context,Estructura DDD por bounded context,"Crear el esqueleto de capas (domain, application, infrastructure, interfaces) para los contexts: waitlist, restaurant, notifications, identity.",Backend / arquitectura,Medium,Omar,2026-07-06,2026-07-17,Por hacer,NEXA-004
NEXA-007,Sprint 1 (sem 1-2),feat: restaurant context - config,Context Restaurant: configuración,"Implementar el dominio y casos de uso de Restaurant: crear/editar restaurante, colas (General/VIP/Visitante), ETA base sintético y tiempo de expiración.",Panel admin / configuración,Medium,Omar,2026-07-13,2026-07-17,Por hacer,NEXA-006
NEXA-008,Sprint 1 (sem 1-2),feat: waitlist context - core domain,Context Waitlist: dominio núcleo,"Modelar el dominio de la cola: WaitlistEntry, estados (waiting/notified/seated/no_show/cancelled), posición y cálculo de ETA (sintético base).",Listas de espera / núcleo,Large,Omar,2026-07-06,2026-07-17,Por hacer,NEXA-006
NEXA-009,Sprint 1 (sem 1-2),feat: identity context - auth base,Context Identity: auth base,"Integrar BetterAuth: modo guest (nombre tipo gamertag), registro con correo, y usuarios staff (hostess/admin).",Autenticación,Large,Yo,2026-07-13,2026-07-17,Por hacer,NEXA-006
NEXA-010,Sprint 1 (sem 1-2),feat: websocket layer in express,Capa de WebSockets en Express,"Integrar WebSockets en el mismo proceso de Express, con modelo de rooms por restaurante/cola y eventos entry_added/entry_updated/entry_removed.",Tiempo real,Large,Omar,2026-07-13,2026-07-17,Por hacer,NEXA-008
NEXA-011,Sprint 1 (sem 1-2),feat: scaffold 3 next.js apps,Scaffold de las 3 apps Next.js,"Crear apps/client, apps/reception y apps/admin con Next.js + TypeScript, layout base y consumo de packages/ui y packages/types.",Frontend / base (3 apps),Medium,Yo,2026-07-06,2026-07-17,Por hacer,"NEXA-002,NEXA-003"
NEXA-012,Sprint 1 (sem 1-2),feat: shared ui package,Package de UI compartida,"Crear packages/ui con componentes base (botones pill, cards redondeadas, inputs) según la identidad cálida de Nexa, reutilizables por las 3 apps.",Frontend / design system,Medium,Yo,2026-07-13,2026-07-17,Por hacer,NEXA-011
NEXA-013,Sprint 2 (sem 3-4),feat: client app - join flow,App cliente: flujo de alta,"Pantallas de alta del comensal (QR/código/catálogo), modo guest/registrado y formulario de registro conectado a la cola.",App cliente / alta,Large,Yo,2026-07-20,2026-07-24,Por hacer,"NEXA-008,NEXA-009"
NEXA-014,Sprint 2 (sem 3-4),feat: client app - waiting status,App cliente: estado en espera,"Pantalla de espera en tiempo real: posición, ETA, notificaciones de estado y cancelación autónoma. Suscripción WebSocket a su entrada.",App cliente / espera,Medium,Yo,2026-07-20,2026-07-24,Por hacer,"NEXA-013,NEXA-010"
NEXA-015,Sprint 2 (sem 3-4),feat: client app - catalog,App cliente: catálogo de restaurantes,"Catálogo público con búsqueda, badge de espera actual y acceso por código. Lectura de contenido (por ahora datos base; Strapi en Sprint 3).",App cliente / catálogo,Medium,Yo,2026-07-20,2026-07-31,Por hacer,NEXA-013
NEXA-016,Sprint 2 (sem 3-4),feat: client app - review form,App cliente: evaluación post-servicio,"Formulario de evaluación al finalizar el servicio (rating + comentario), con registro de resultados para métricas.",App cliente / evaluación,Small,Yo,2026-07-27,2026-07-31,Por hacer,NEXA-014
NEXA-017,Sprint 2 (sem 3-4),feat: reception app - live queue,App recepción: cola en vivo,"Board de gestión en tiempo real con múltiples colas (General/VIP/Visitante), tarjetas por comensal, estados y reordenamiento vía WebSocket.",App recepción / cola,Large,Omar,2026-07-20,2026-07-31,Por hacer,"NEXA-010,NEXA-008"
NEXA-018,Sprint 2 (sem 3-4),feat: reception app - manual add & actions,App recepción: alta manual y acciones,"Alta manual de comensales y acciones (avisar, sentar, no-show), con panel de detalle del comensal y línea de estados.",App recepción / gestión,Medium,Omar,2026-07-27,2026-07-31,Por hacer,NEXA-017
NEXA-019,Sprint 2 (sem 3-4),feat: admin app - dashboard,App admin: dashboard de métricas,"Panel del dueño con KPIs (espera promedio, no-shows, rotación, conversión anotado->sentado) y gráficas básicas.",Panel admin / métricas,Medium,Yo,2026-07-20,2026-07-31,Por hacer,"NEXA-007,NEXA-008"
NEXA-020,Sprint 2 (sem 3-4),feat: admin app - restaurant config ui,App admin: UI de configuración,"Interfaz de configuración del restaurante: datos, QR/código, gestión de colas, ETA base y expiración.",Panel admin / configuración,Medium,Yo,2026-07-27,2026-07-31,Por hacer,NEXA-007
NEXA-021,Sprint 2 (sem 3-4),feat: notifications context - web push,Context Notifications: web push,"Implementar notificaciones web (gratis) para eventos registro/turno cerca/mesa lista, enrutadas desde la capa de aplicación.",Notificaciones / web,Medium,Omar,2026-07-20,2026-07-31,Por hacer,NEXA-006
NEXA-022,Sprint 2 (sem 3-4),feat: landing page,Landing page del negocio,"Construir la landing (hero, cómo funciona, beneficios, precios teaser, nota de visión, CTA y footer) con identidad cálida y copy en español.",Landing / marketing,Large,Yo,2026-07-20,2026-07-31,Por hacer,NEXA-012
NEXA-023,Sprint 2 (sem 3-4),feat: expiration & no-show logic,Lógica de expiración y no-show,"Implementar expiración parametrizable: al avisar se marca el tiempo y, si no se presenta en X minutos, pasa a no_show. Proceso periódico o verificación en lectura.",Listas de espera / reglas,Medium,Omar,2026-07-27,2026-07-31,Por hacer,NEXA-008
NEXA-024,Sprint 2 (sem 3-4),ci: pipeline setup,Configurar CI (integración continua),"Pipeline de CI: instalación, lint, typecheck, build y tests en cada push/PR sobre el monorepo.",Infraestructura / CI,Medium,Omar,2026-07-27,2026-07-31,Por hacer,NEXA-001
NEXA-025,Sprint 2 (sem 3-4),chore: provision server,Aprovisionar servidor,"Preparar el servidor de despliegue: entorno, PostgreSQL gestionado o instancia, variables de entorno y dominios. Cierre del trabajo local hacia publicación.",Infraestructura / server,Medium,Omar,2026-07-27,2026-07-31,Por hacer,-
